Cluster Labels,Neighborhood,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
0,Agincourt,Latin American Restaurant,Breakfast Spot,Lounge,Chinese Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,Doner Restaurant,Dance Studio,Dog Run
0,Alderwood / Long Branch,Pizza Place,Coffee Shop,Pharmacy,Sandwich Place,Dance Studio,Pub,Athletics & Sports,Skating Rink,Gym,Comfort Food Restaurant
0,Bathurst Manor / Wilson Heights / Downsview North,Coffee Shop,Bank,Pharmacy,Shopping Mall,Sandwich Place,Diner,Bridal Shop,Restaurant,Deli / Bodega,Ice Cream Shop
0,Bayview Village,Chinese Restaurant,Café,Bank,Japanese Restaurant,Distribution Center,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Yoga Studio
0,Bedford Park / Lawrence Manor East,Italian Restaurant,Sandwich Place,Coffee Shop,Restaurant,Pizza Place,Thai Restaurant,Liquor Store,Indian Restaurant,Pub,Butcher
0,Berczy Park,Coffee Shop,Cocktail Bar,Bakery,Seafood Restaurant,Café,Restaurant,Cheese Shop,Italian Restaurant,Beer Bar,Farmers Market
0,Birch Cliff / Cliffside West,Skating Rink,College Stadium,General Entertainment,Café,Yoga Studio,Discount Store,Department Store,Dessert Shop,Dim Sum Restaurant,Diner
0,Brockton / Parkdale Village / Exhibition Place,Café,Nightclub,Breakfast Spot,Coffee Shop,Pet Store,Music Venue,Burrito Place,Italian Restaurant,Intersection,Restaurant
0,Business reply mail Processing CentrE,Light Rail Station,Yoga Studio,Auto Workshop,Spa,Farmers Market,Pizza Place,Fast Food Restaurant,Comic Shop,Park,Garden
0,CN Tower / King and Spadina / Railway Lands / Harbourfront West / Bathurst Quay / South Niagara / Island airport,Airport Service,Airport Lounge,Airport Terminal,Coffee Shop,Harbor / Marina,Sculpture Garden,Boutique,Bar,Boat or Ferry,Airport
2,Caledonia-Fairbanks,Park,Women's Store,Pool,Yoga Studio,Diner,Dance Studio,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant
0,Canada Post Gateway Processing Centre,Coffee Shop,Hotel,Sandwich Place,Burrito Place,Middle Eastern Restaurant,Mediterranean Restaurant,Gym,American Restaurant,Intersection,Fried Chicken Joint
0,Cedarbrae,Bank,Fried Chicken Joint,Hakka Restaurant,Athletics & Sports,Gas Station,Caribbean Restaurant,Thai Restaurant,Bakery,Dessert Shop,Dance Studio
0,Central Bay Street,Coffee Shop,Italian Restaurant,Café,Sandwich Place,Bubble Tea Shop,Burger Joint,Ice Cream Shop,Fried Chicken Joint,Salad Place,Restaurant
0,Christie,Grocery Store,Café,Park,Candy Store,Italian Restaurant,Diner,Restaurant,Baby Store,Coffee Shop,Nightclub
0,Church and Wellesley,Sushi Restaurant,Coffee Shop,Japanese Restaurant,Gay Bar,Restaurant,Yoga Studio,Men's Store,Pub,Hotel,Mediterranean Restaurant
0,Clarks Corners / Tam O'Shanter / Sullivan,Pizza Place,Chinese Restaurant,Fast Food Restaurant,Intersection,Thai Restaurant,Fried Chicken Joint,Bank,Pharmacy,Rental Car Location,Italian Restaurant
0,Cliffside / Cliffcrest / Scarborough Village West,Motel,American Restaurant,Yoga Studio,Discount Store,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Distribution Center
0,Commerce Court / Victoria Hotel,Coffee Shop,Café,Restaurant,Hotel,Gym,American Restaurant,Deli / Bodega,Japanese Restaurant,Italian Restaurant,Seafood Restaurant
0,Davisville,Pizza Place,Dessert Shop,Sandwich Place,Sushi Restaurant,Coffee Shop,Italian Restaurant,Gym,Café,Seafood Restaurant,Diner
0,Davisville North,Dance Studio,Park,Food & Drink Shop,Breakfast Spot,Gym,Department Store,Hotel,Sandwich Place,Dim Sum Restaurant,Deli / Bodega
